Date,Region,Climate_Zone,Temp_Anomaly_C,Drought_Index,Air_Quality_Index,Water_Stress_Index
2021-01-01,East_Zone,Humid_Subtropical,-0.148,0.428,173.0,0.438
2021-01-02,East_Zone,Humid_Subtropical,-0.047,0.414,132.0,0.44
2021-01-03,East_Zone,Humid_Subtropical,-0.243,0.351,164.0,0.387
2021-01-04,East_Zone,Humid_Subtropical,0.083,0.535,148.0,0.492
2021-01-05,East_Zone,Humid_Subtropical,0.115,0.516,152.0,0.447
2021-01-06,East_Zone,Humid_Subtropical,0.008,0.409,159.0,0.396
2021-01-07,East_Zone,Humid_Subtropical,0.183,0.462,149.0,0.427
2021-01-08,East_Zone,Humid_Subtropical,0.135,0.543,138.0,0.482
2021-01-09,East_Zone,Humid_Subtropical,0.048,0.494,135.0,0.416
2021-01-10,East_Zone,Humid_Subtropical,-0.011,0.402,159.0,0.399
2021-01-11,East_Zone,Humid_Subtropical,-0.035,0.415,116.0,0.461
2021-01-12,East_Zone,Humid_Subtropical,0.056,0.317,180.0,0.417
2021-01-13,East_Zone,Humid_Subtropical,-0.014,0.466,152.0,0.429
2021-01-14,East_Zone,Humid_Subtropical,0.055,0.495,144.0,0.454
2021-01-15,East_Zone,Humid_Subtropical,0.062,0.495,155.0,0.516
2021-01-16,East_Zone,Humid_Subtropical,-0.023,0.462,139.0,0.494
2021-01-17,East_Zone,Humid_Subtropical,0.11,0.441,147.0,0.447
2021-01-18,East_Zone,Humid_Subtropical,-0.023,0.36,130.0,0.454
2021-01-19,East_Zone,Humid_Subtropical,0.002,0.439,157.0,0.453
2021-01-20,East_Zone,Humid_Subtropical,-0.098,0.382,149.0,0.382
2021-01-21,East_Zone,Humid_Subtropical,-0.027,0.452,153.0,0.394
2021-01-22,East_Zone,Humid_Subtropical,0.216,0.374,177.0,0.406
2021-01-23,East_Zone,Humid_Subtropical,-0.09,0.451,136.0,0.405
2021-01-24,East_Zone,Humid_Subtropical,0.044,0.499,148.0,0.473
2021-01-25,East_Zone,Humid_Subtropical,-0.045,0.443,120.0,0.434
2021-01-26,East_Zone,Humid_Subtropical,-0.221,0.44,160.0,0.463
2021-01-27,East_Zone,Humid_Subtropical,0.056,0.475,150.0,0.472
2021-01-28,East_Zone,Humid_Subtropical,-0.056,0.526,150.0,0.492
2021-01-29,East_Zone,Humid_Subtropical,0.032,0.414,147.0,0.416
2021-01-30,East_Zone,Humid_Subtropical,0.099,0.451,140.0,0.468
2021-01-31,East_Zone,Humid_Subtropical,0.023,0.511,195.0,0.439
2021-02-01,East_Zone,Humid_Subtropical,0.033,0.46,151.0,0.476
2021-02-02,East_Zone,Humid_Subtropical,-0.087,0.3,155.0,0.452
2021-02-03,East_Zone,Humid_Subtropical,0.071,0.377,129.0,0.456
2021-02-04,East_Zone,Humid_Subtropical,-0.019,0.465,166.0,0.451
2021-02-05,East_Zone,Humid_Subtropical,-0.2,0.396,148.0,0.456
2021-02-06,East_Zone,Humid_Subtropical,0.083,0.506,158.0,0.421
2021-02-07,East_Zone,Humid_Subtropical,0.113,0.531,166.0,0.42
2021-02-08,East_Zone,Humid_Subtropical,0.148,0.385,148.0,0.45
2021-02-09,East_Zone,Humid_Subtropical,0.217,0.358,138.0,0.469
2021-02-10,East_Zone,Humid_Subtropical,0.077,0.398,108.0,0.403
2021-02-11,East_Zone,Humid_Subtropical,0.051,0.395,143.0,0.439
2021-02-12,East_Zone,Humid_Subtropical,0.109,0.512,138.0,0.481
2021-02-13,East_Zone,Humid_Subtropical,-0.089,0.358,129.0,0.411
2021-02-14,East_Zone,Humid_Subtropical,-0.167,0.465,176.0,0.446
2021-02-15,East_Zone,Humid_Subtropical,-0.048,0.503,168.0,0.484
2021-02-16,East_Zone,Humid_Subtropical,0.128,0.469,117.0,0.46
