Date,Month,Day
2021-03-10,3,10
2021-03-22,3,22
2021-03-23,3,23
2021-03-28,3,28
2021-10-01,10,1
2021-10-03,10,3
2021-10-07,10,7
2021-10-08,10,8
2021-10-09,10,9
2021-10-10,10,10
2021-10-11,10,11
2021-10-14,10,14
2021-10-15,10,15
2021-10-17,10,17
2021-10-18,10,18
2021-10-19,10,19
2021-10-20,10,20
2021-10-22,10,22
2021-10-23,10,23
2021-10-24,10,24
2021-10-26,10,26
2021-10-27,10,27
2021-10-29,10,29
2021-11-03,11,3
2021-11-06,11,6
2021-11-07,11,7
2021-11-09,11,9
2021-11-10,11,10
2021-11-11,11,11
2021-11-16,11,16
2021-11-17,11,17
2021-11-18,11,18
2021-11-20,11,20
2021-11-21,11,21
2021-11-23,11,23
2021-11-25,11,25
2021-11-27,11,27
2021-11-28,11,28
2021-11-30,11,30
2022-03-06,3,6
2022-03-07,3,7
2022-03-08,3,8
2022-03-14,3,14
2022-03-15,3,15
2022-03-26,3,26
2022-03-28,3,28
2022-03-31,3,31
2022-10-02,10,2
2022-10-03,10,3
2022-10-04,10,4
2022-10-07,10,7
2022-10-13,10,13
2022-10-14,10,14
2022-10-16,10,16
2022-10-18,10,18
2022-10-20,10,20
2022-10-22,10,22
2022-10-24,10,24
2022-10-25,10,25
2022-10-26,10,26
2022-10-27,10,27
2022-10-30,10,30
2022-11-01,11,1
2022-11-07,11,7
2022-11-08,11,8
2022-11-09,11,9
2022-11-10,11,10
2022-11-13,11,13
2022-11-14,11,14
2022-11-15,11,15
2022-11-17,11,17
2022-11-18,11,18
2022-11-23,11,23
2022-11-27,11,27
2022-11-28,11,28
2023-03-01,3,1
2023-03-02,3,2
2023-03-10,3,10
2023-03-15,3,15
2023-03-24,3,24
2023-10-02,10,2
2023-10-03,10,3
2023-10-04,10,4
2023-10-07,10,7
2023-10-12,10,12
2023-10-14,10,14
2023-10-15,10,15
2023-10-16,10,16
2023-10-19,10,19
2023-10-20,10,20
2023-10-21,10,21
2023-10-23,10,23
2023-10-24,10,24
2023-10-25,10,25
2023-11-01,11,1
2023-11-02,11,2
2023-11-04,11,4
2023-11-12,11,12
2023-11-13,11,13
2023-11-14,11,14
2023-11-16,11,16
2023-11-17,11,17
2023-11-19,11,19
2023-11-20,11,20
2023-11-21,11,21
2023-11-22,11,22
2023-11-24,11,24
2023-11-26,11,26
2023-11-30,11,30
