Date,Region,Political_Stability_Index,Plastic_Ban_Active,Economic_Index,Consumer_Confidence,Tourism_Index,Election_Period,Water_Tax_Rate,Govt_Subsidy_Active
2021-01-01,East_Zone,77.8,0,100.18,52.9,67.1,0,3.5,0
2021-01-02,East_Zone,68.7,0,101.2,57.8,62.7,0,3.5,0
2021-01-03,East_Zone,76.8,0,100.38,53.7,79.0,0,3.5,0
2021-01-04,East_Zone,74.0,0,100.07,55.1,73.4,0,3.5,0
2021-01-05,East_Zone,73.7,0,100.51,49.3,74.7,0,3.5,0
2021-01-06,East_Zone,74.4,0,98.77,50.9,74.2,0,3.5,0
2021-01-07,East_Zone,69.7,0,101.19,50.0,73.1,0,3.5,0
2021-01-08,East_Zone,77.4,0,99.08,52.3,71.9,0,3.5,0
2021-01-09,East_Zone,72.7,0,101.86,53.0,71.6,0,3.5,0
2021-01-10,East_Zone,71.5,0,101.11,51.3,67.1,0,3.5,0
2021-01-11,East_Zone,80.5,0,100.93,55.9,63.2,0,3.5,0
2021-01-12,East_Zone,73.0,0,101.01,49.1,83.2,0,3.5,0
2021-01-13,East_Zone,71.4,0,100.44,44.6,72.2,0,3.5,0
2021-01-14,East_Zone,76.4,0,99.69,50.6,69.8,0,3.5,0
2021-01-15,East_Zone,74.8,0,99.57,61.4,68.0,0,3.5,0
2021-01-16,East_Zone,77.0,0,102.3,56.0,77.2,0,3.5,0
2021-01-17,East_Zone,74.3,0,100.68,49.9,72.7,0,3.5,0
2021-01-18,East_Zone,76.9,0,99.49,54.6,67.7,0,3.5,0
2021-01-19,East_Zone,80.2,0,101.16,52.9,70.5,0,3.5,0
2021-01-20,East_Zone,71.7,0,101.02,55.0,73.6,0,3.5,0
2021-01-21,East_Zone,72.6,0,100.38,56.7,70.1,0,3.5,0
2021-01-22,East_Zone,69.2,0,99.84,53.7,76.1,0,3.5,0
2021-01-23,East_Zone,75.1,0,101.51,54.1,82.6,0,3.5,0
2021-01-24,East_Zone,74.4,0,101.75,59.6,69.9,0,3.5,0
2021-01-25,East_Zone,77.8,0,101.16,55.6,70.6,0,3.5,0
2021-01-26,East_Zone,73.9,0,100.94,54.2,67.9,0,3.5,0
2021-01-27,East_Zone,73.7,0,100.11,53.2,71.2,0,3.5,0
2021-01-28,East_Zone,74.6,0,101.41,51.3,62.2,0,3.5,0
2021-01-29,East_Zone,73.3,0,100.32,48.1,77.5,0,3.5,0
2021-01-30,East_Zone,75.1,0,99.72,55.6,65.3,0,3.5,0
2021-01-31,East_Zone,74.7,0,102.14,59.0,68.0,0,3.5,0
2021-02-01,East_Zone,75.6,0,100.02,54.7,72.4,0,3.5,0
2021-02-02,East_Zone,73.3,0,99.18,54.9,78.9,0,3.5,0
2021-02-03,East_Zone,75.7,0,102.41,50.4,67.7,0,3.5,0
2021-02-04,East_Zone,75.9,0,99.39,50.4,71.1,0,3.5,0
2021-02-05,East_Zone,73.0,0,100.77,48.2,73.5,0,3.5,0
2021-02-06,East_Zone,73.8,0,100.09,52.0,68.6,0,3.5,0
2021-02-07,East_Zone,73.5,0,100.49,57.1,71.4,0,3.5,0
2021-02-08,East_Zone,70.3,0,103.47,51.6,64.0,0,3.5,0
2021-02-09,East_Zone,72.5,0,101.17,53.2,69.4,0,3.5,0
2021-02-10,East_Zone,76.3,0,101.66,56.5,78.2,0,3.5,0
2021-02-11,East_Zone,76.5,0,102.11,58.7,76.1,0,3.5,0
2021-02-12,East_Zone,75.0,0,100.7,46.7,69.8,0,3.5,0
2021-02-13,East_Zone,71.0,0,102.45,52.1,66.9,0,3.5,0
2021-02-14,East_Zone,76.9,0,101.77,50.8,70.9,0,3.5,0
2021-02-15,East_Zone,79.6,0,102.18,50.4,64.7,0,3.5,0
2021-02-16,East_Zone,75.8,0,100.72,51.8,71.0,0,3.5,0
2021-02-17,East_Zone,74.0,0,101.91,46.0,69.9,0,3.5,0
2021-02-18,East_Zone,71.4,0,101.49,52.1,69.8,0,3.5,0
2021-02-19,East_Zone,74.0,0,102.65,54.2,71.3,0,3.5,0
2021-02-20,East_Zone,72.5,0,101.0,49.2,74.7,0,3.5,0
2021-02-21,East_Zone,73.4,0,103.59,52.5,66.8,0,3.5,0
2021-02-22,East_Zone,77.9,0,101.92,53.8,76.8,0,3.5,0
2021-02-23,East_Zone,76.6,0,101.48,54.1,77.6,0,3.5,0
2021-02-24,East_Zone,73.0,0,101.38,47.0,83.0,0,3.5,0
2021-02-25,East_Zone,74.3,0,101.64,56.5,73.5,0,3.5,0
2021-02-26,East_Zone,74.0,0,101.03,56.3,79.4,0,3.5,0
2021-02-27,East_Zone,72.7,0,102.35,51.0,76.9,0,3.5,0
2021-02-28,East_Zone,70.0,0,101.69,60.4,73.0,0,3.5,0
2021-03-01,East_Zone,76.5,0,103.66,56.3,38.9,0,3.5,0
2021-03-02,East_Zone,77.5,0,101.3,54.8,49.5,0,3.5,0
2021-03-03,East_Zone,72.2,0,101.63,56.4,46.2,0,3.5,0
2021-03-04,East_Zone,72.0,0,101.33,49.4,53.9,0,3.5,1
2021-03-05,East_Zone,76.7,0,103.65,53.0,48.7,0,3.5,0
2021-03-06,East_Zone,72.0,0,100.35,55.6,50.3,0,3.5,1
2021-03-07,East_Zone,69.8,0,101.91,50.6,42.1,0,3.5,1
2021-03-08,East_Zone,72.7,0,102.14,52.4,46.2,0,3.5,1
2021-03-09,East_Zone,78.1,0,100.71,55.7,35.4,0,3.5,0
2021-03-10,East_Zone,72.4,0,104.5,56.0,59.8,0,3.5,1
