Date,Region,Humidity_pct,Rainfall_mm,Heat_Index_C,Wind_Speed_kmph,UV_Index,Extreme_Weather_Flag
2021-01-01,East_Zone,80.5,0.0,15.0,4.9,2.9,0
2021-01-02,East_Zone,73.9,0.0,14.8,10.8,4.2,0
2021-01-03,East_Zone,82.5,0.0,15.5,9.3,4.1,0
2021-01-04,East_Zone,85.6,0.0,11.9,8.0,3.2,0
2021-01-05,East_Zone,68.8,0.0,15.7,5.5,3.5,0
2021-01-06,East_Zone,73.6,0.0,13.1,3.0,3.4,0
2021-01-07,East_Zone,80.1,0.0,14.2,6.6,3.6,0
2021-01-08,East_Zone,79.1,0.3,12.2,9.3,3.0,0
2021-01-09,East_Zone,77.7,0.0,17.1,7.2,3.3,0
2021-01-10,East_Zone,76.3,0.4,12.4,1.2,3.2,0
2021-01-11,East_Zone,82.1,0.0,17.1,6.3,3.4,0
2021-01-12,East_Zone,83.1,0.0,14.6,1.0,3.3,0
2021-01-13,East_Zone,82.8,0.0,9.2,8.4,1.9,0
2021-01-14,East_Zone,84.0,0.0,16.0,3.9,3.6,0
2021-01-15,East_Zone,79.4,0.0,18.2,2.3,3.3,0
2021-01-16,East_Zone,73.4,0.0,17.2,8.5,2.5,0
2021-01-17,East_Zone,81.0,3.2,14.8,7.7,3.3,0
2021-01-18,East_Zone,75.3,0.0,13.2,6.7,3.2,0
2021-01-19,East_Zone,79.8,0.0,21.0,12.6,4.6,0
2021-01-20,East_Zone,78.0,2.3,16.2,7.9,3.2,0
2021-01-21,East_Zone,78.3,0.0,14.6,4.1,3.9,0
2021-01-22,East_Zone,74.0,0.1,17.6,7.6,4.5,0
2021-01-23,East_Zone,84.8,0.0,15.5,5.1,3.1,0
2021-01-24,East_Zone,81.3,1.9,9.8,9.8,3.2,0
2021-01-25,East_Zone,75.2,0.0,17.7,6.8,4.7,0
2021-01-26,East_Zone,74.7,0.0,19.3,7.1,3.9,0
2021-01-27,East_Zone,83.6,0.0,11.8,1.7,3.6,0
2021-01-28,East_Zone,80.9,0.0,14.8,6.2,3.2,0
2021-01-29,East_Zone,82.4,0.0,12.7,5.8,3.8,0
2021-01-30,East_Zone,77.6,0.0,20.9,2.9,3.8,0
2021-01-31,East_Zone,87.5,0.0,18.7,5.3,2.6,0
2021-02-01,East_Zone,75.0,0.0,18.2,7.3,3.4,0
2021-02-02,East_Zone,74.9,0.0,17.6,6.0,2.9,0
2021-02-03,East_Zone,80.3,0.0,6.1,1.8,3.1,0
2021-02-04,East_Zone,83.2,0.0,13.1,5.2,2.9,0
2021-02-05,East_Zone,84.4,0.0,15.4,4.6,3.8,0
2021-02-06,East_Zone,79.9,1.1,12.5,6.6,3.4,0
2021-02-07,East_Zone,76.1,0.0,12.9,6.3,2.6,0
2021-02-08,East_Zone,76.1,0.0,13.0,4.8,3.1,0
2021-02-09,East_Zone,83.1,0.0,13.6,4.6,3.8,0
2021-02-10,East_Zone,81.9,0.0,16.4,6.2,4.3,0
2021-02-11,East_Zone,79.9,0.0,18.1,8.9,3.1,0
2021-02-12,East_Zone,77.6,0.0,11.8,6.8,2.7,0
2021-02-13,East_Zone,81.0,0.0,13.6,10.3,4.6,0
2021-02-14,East_Zone,79.2,0.0,15.7,9.4,3.5,0
2021-02-15,East_Zone,82.1,0.5,11.6,10.5,3.4,0
2021-02-16,East_Zone,85.0,0.0,12.2,10.1,2.9,0
2021-02-17,East_Zone,79.5,0.0,16.1,10.7,3.7,0
2021-02-18,East_Zone,81.3,0.0,16.9,2.5,4.6,0
2021-02-19,East_Zone,80.2,0.0,13.6,7.9,3.6,0
2021-02-20,East_Zone,79.6,0.0,16.4,9.7,4.2,0
2021-02-21,East_Zone,80.1,0.0,18.5,10.2,3.7,0
2021-02-22,East_Zone,74.2,0.0,10.9,3.7,2.7,0
2021-02-23,East_Zone,72.1,0.0,23.8,8.0,3.5,0
2021-02-24,East_Zone,72.4,0.0,22.1,6.2,3.2,0
2021-02-25,East_Zone,75.4,0.0,15.7,11.5,3.7,0
2021-02-26,East_Zone,77.7,0.0,14.9,1.8,4.2,0
2021-02-27,East_Zone,86.4,0.0,15.1,3.7,3.6,0
2021-02-28,East_Zone,75.8,0.0,13.2,1.0,3.2,0
2021-03-01,East_Zone,45.8,0.0,47.3,6.4,9.2,0
2021-03-02,East_Zone,37.7,0.0,29.2,12.8,9.5,0
2021-03-03,East_Zone,43.5,0.0,32.0,5.9,8.6,0
2021-03-04,East_Zone,40.3,0.0,50.6,6.3,9.1,0
2021-03-05,East_Zone,45.2,0.0,41.6,7.7,10.1,0
2021-03-06,East_Zone,49.6,0.0,30.8,5.7,9.1,0
2021-03-07,East_Zone,48.8,0.0,34.1,7.1,9.2,0
2021-03-08,East_Zone,39.8,0.0,42.0,7.2,9.5,0
2021-03-09,East_Zone,36.5,0.0,51.0,3.5,10.3,0
2021-03-10,East_Zone,46.0,0.0,44.3,5.7,9.7,0
2021-03-11,East_Zone,43.0,0.0,35.2,8.2,9.0,0
2021-03-12,East_Zone,33.7,3.4,44.5,8.8,9.3,0
2021-03-13,East_Zone,36.0,0.0,40.3,9.9,9.5,0
2021-03-14,East_Zone,36.4,0.0,42.7,7.0,9.9,0
2021-03-15,East_Zone,46.3,0.0,36.6,7.1,9.4,0
2021-03-16,East_Zone,43.2,0.0,39.9,8.3,9.5,0
2021-03-17,East_Zone,49.6,0.0,30.7,4.2,9.3,0
