Date,Region,Season,Temperature_C,Is_Festival,Base_Demand,City_Proxy,Latitude,Longitude,Served_Population_M,Urbanisation,Elevation_m,Coastal,Area_k_km2,Climate_Zone,Humidity_pct,Rainfall_mm,Heat_Index_C,Wind_Speed_kmph,UV_Index,Extreme_Weather_Flag,Temp_Anomaly_C,Drought_Index,Air_Quality_Index,Water_Stress_Index,Political_Stability_Index,Plastic_Ban_Active,Economic_Index,Consumer_Confidence,Tourism_Index,Election_Period,Water_Tax_Rate,Govt_Subsidy_Active,Target_Demand
2021-01-01,East_Zone,Winter,15.0,0,7844,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,80.5,0.0,15.0,4.9,2.9,0,-0.148,0.428,173.0,0.438,77.8,0,100.18,52.9,67.1,0,3.5,0,7869
2021-01-02,East_Zone,Winter,14.8,0,8666,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,73.9,0.0,14.8,10.8,4.2,0,-0.047,0.414,132.0,0.44,68.7,0,101.2,57.8,62.7,0,3.5,0,8489
2021-01-03,East_Zone,Winter,15.5,0,9400,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,82.5,0.0,15.5,9.3,4.1,0,-0.243,0.351,164.0,0.387,76.8,0,100.38,53.7,79.0,0,3.5,0,9578
2021-01-04,East_Zone,Winter,11.9,0,9320,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,85.6,0.0,11.9,8.0,3.2,0,0.083,0.535,148.0,0.492,74.0,0,100.07,55.1,73.4,0,3.5,0,9622
2021-01-05,East_Zone,Winter,15.7,0,9515,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,68.8,0.0,15.7,5.5,3.5,0,0.115,0.516,152.0,0.447,73.7,0,100.51,49.3,74.7,0,3.5,0,9722
2021-01-06,East_Zone,Winter,13.1,0,9307,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,73.6,0.0,13.1,3.0,3.4,0,0.008,0.409,159.0,0.396,74.4,0,98.77,50.9,74.2,0,3.5,0,9279
2021-01-07,East_Zone,Winter,14.2,0,8779,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,80.1,0.0,14.2,6.6,3.6,0,0.183,0.462,149.0,0.427,69.7,0,101.19,50.0,73.1,0,3.5,0,8999
2021-01-08,East_Zone,Winter,12.2,0,7252,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,79.1,0.3,12.2,9.3,3.0,0,0.135,0.543,138.0,0.482,77.4,0,99.08,52.3,71.9,0,3.5,0,7266
2021-01-09,East_Zone,Winter,17.1,0,8911,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,77.7,0.0,17.1,7.2,3.3,0,0.048,0.494,135.0,0.416,72.7,0,101.86,53.0,71.6,0,3.5,0,9097
2021-01-10,East_Zone,Winter,12.4,0,7595,Kolkata,22.57,88.36,18.4,0.82,9,1,1.85,Humid_Subtropical,76.3,0.4,12.4,1.2,3.2,0,-0.011,0.402,159.0,0.399,71.5,0,101.11,51.3,67.1,0,3.5,0,7526
