Date,Region,Forecast_Demand,Lower,Upper,Temperature_C,Season,Is_Festival,Plastic_Ban_Active
2024-01-01,North_Zone,11519,9510,13528,15.9,Winter,0,1
2024-01-02,North_Zone,12003,9994,14012,15.3,Winter,0,1
2024-01-03,North_Zone,11435,9426,13444,14.7,Winter,0,1
2024-01-04,North_Zone,12028,10019,14037,17.7,Winter,0,1
2024-01-05,North_Zone,11813,9804,13821,14.8,Winter,0,1
2024-01-06,North_Zone,12083,10074,14092,16.6,Winter,0,1
2024-01-07,North_Zone,11680,9671,13689,16.3,Winter,0,1
2024-01-08,North_Zone,11200,9191,13209,14.7,Winter,0,1
2024-01-09,North_Zone,11319,9310,13328,14.2,Winter,0,1
2024-01-10,North_Zone,11104,9095,13112,14.2,Winter,0,1
2024-01-11,North_Zone,12345,10336,14354,18.6,Winter,0,1
2024-01-12,North_Zone,11337,9328,13346,15.0,Winter,0,1
2024-01-13,North_Zone,12281,10273,14290,17.3,Winter,0,1
2024-01-14,North_Zone,12062,10053,14070,15.6,Winter,0,1
2024-01-15,North_Zone,11032,9023,13041,12.9,Winter,0,1
2024-01-16,North_Zone,11432,9423,13441,13.8,Winter,0,1
2024-01-17,North_Zone,11897,9888,13905,15.8,Winter,0,1
2024-01-18,North_Zone,12055,10047,14064,17.1,Winter,0,1
2024-01-19,North_Zone,11871,9862,13880,16.2,Winter,0,1
2024-01-20,North_Zone,11228,9219,13237,13.0,Winter,0,1
2024-01-21,North_Zone,12073,10064,14082,17.0,Winter,0,1
2024-01-22,North_Zone,11889,9880,13898,15.4,Winter,0,1
2024-01-23,North_Zone,11078,9069,13086,14.1,Winter,0,1
2024-01-24,North_Zone,11165,9156,13173,13.1,Winter,0,1
2024-01-25,North_Zone,11496,9487,13504,14.8,Winter,0,1
2024-01-26,North_Zone,11849,9841,13858,16.2,Winter,0,1
2024-01-27,North_Zone,11679,9670,13688,16.6,Winter,0,1
2024-01-28,North_Zone,11989,9980,13998,15.7,Winter,0,1
2024-01-29,North_Zone,11095,9086,13104,14.2,Winter,0,1
2024-01-30,North_Zone,12110,10101,14119,16.0,Winter,0,1
2024-01-31,North_Zone,11943,9934,13952,15.4,Winter,0,1
2024-02-01,North_Zone,11504,9495,13513,14.9,Winter,0,1
2024-02-02,North_Zone,10947,8939,12956,14.3,Winter,0,1
2024-02-03,North_Zone,11899,9891,13908,17.2,Winter,0,1
2024-02-04,North_Zone,11365,9356,13374,14.5,Winter,0,1
2024-02-05,North_Zone,11949,9940,13957,15.1,Winter,0,1
2024-02-06,North_Zone,11906,9897,13915,15.0,Winter,0,1
2024-02-07,North_Zone,10747,8738,12756,11.7,Winter,0,1
2024-02-08,North_Zone,11886,9877,13895,17.0,Winter,0,1
2024-02-09,North_Zone,12404,10395,14413,19.2,Winter,0,1
2024-02-10,North_Zone,11746,9737,13755,15.6,Winter,0,1
2024-02-11,North_Zone,12335,10327,14344,17.8,Winter,0,1
