Period,Region,Forecast_Demand,Lower,Upper
2024-01-01,ALL,1254656,1005555,1503752
2024-02-01,ALL,1183673,950638,1416696
2024-03-01,ALL,2026208,1777103,2275303
2024-04-01,ALL,1802444,1561377,2043510
2024-05-01,ALL,1881049,1631952,2130149
2024-06-01,ALL,1498847,1257783,1739914
2024-07-01,ALL,1546444,1297344,1795545
2024-08-01,ALL,1544542,1295439,1793642
2024-09-01,ALL,1424534,1183466,1665589
2024-10-01,ALL,1907812,1658717,2156910
2024-11-01,ALL,1896493,1655428,2137555
2024-12-01,ALL,1244704,995599,1493797
2024-01-01,East_Zone,273132,210857,335406
2024-02-01,East_Zone,258312,200053,316568
2024-03-01,East_Zone,477340,415062,539611
2024-04-01,East_Zone,415169,354901,475437
2024-05-01,East_Zone,431389,369113,493666
2024-06-01,East_Zone,338376,278112,398642
2024-07-01,East_Zone,348573,286297,410848
2024-08-01,East_Zone,352388,290116,414659
2024-09-01,East_Zone,325108,264840,385372
2024-10-01,East_Zone,444972,382703,507246
2024-11-01,East_Zone,442915,382646,503183
2024-12-01,East_Zone,274530,212253,336799
2024-01-01,North_Zone,362090,299814,424362
2024-02-01,North_Zone,337751,279495,396007
2024-03-01,North_Zone,537654,475379,599929
2024-04-01,North_Zone,497120,436855,557387
2024-05-01,North_Zone,510204,447932,572481
2024-06-01,North_Zone,415093,354825,475361
2024-07-01,North_Zone,428089,365815,490367
2024-08-01,North_Zone,426062,363785,488337
2024-09-01,North_Zone,386152,325885,446415
2024-10-01,North_Zone,523050,460775,585327
2024-11-01,North_Zone,519143,458875,579407
2024-12-01,North_Zone,351926,289649,414202
2024-01-01,South_Zone,368810,306536,431085
2024-02-01,South_Zone,351149,292889,409405
2024-03-01,South_Zone,574594,512319,636869
2024-04-01,South_Zone,509876,449609,570139
2024-05-01,South_Zone,533756,471480,596025
2024-06-01,South_Zone,432616,372349,492880
2024-07-01,South_Zone,444500,382226,506774
2024-08-01,South_Zone,447135,384857,509412
2024-09-01,South_Zone,414878,354613,475143
2024-10-01,South_Zone,530853,468577,593127
2024-11-01,South_Zone,527329,467064,587594
2024-12-01,South_Zone,368755,306480,431029
2024-01-01,West_Zone,250624,188348,312899
2024-02-01,West_Zone,236461,178201,294716
2024-03-01,West_Zone,436620,374343,498894
2024-04-01,West_Zone,380279,320012,440547
2024-05-01,West_Zone,405700,343427,467977
2024-06-01,West_Zone,312762,252497,373031
2024-07-01,West_Zone,325282,263006,387556
2024-08-01,West_Zone,318957,256681,381234
2024-09-01,West_Zone,298396,238128,358659
2024-10-01,West_Zone,408937,346662,471210
2024-11-01,West_Zone,407106,346843,467371
2024-12-01,West_Zone,249493,187217,311767
