Period,Region,Forecast_Demand,Lower,Upper
2024-01-01,ALL,279440,223192,335690
2024-01-08,ALL,280682,224435,336931
2024-01-15,ALL,286991,230740,343235
2024-01-22,ALL,285721,229471,341968
2024-01-29,ALL,282881,226634,339128
2024-02-05,ALL,284228,227977,340473
2024-02-12,ALL,286932,230682,343182
2024-02-19,ALL,289378,233128,345623
2024-02-26,ALL,367220,310971,423467
2024-03-04,ALL,466317,410067,522565
2024-03-11,ALL,450739,394487,506985
2024-03-18,ALL,451148,394900,507394
2024-03-25,ALL,452860,396612,509110
2024-04-01,ALL,426407,370158,482657
2024-04-08,ALL,416611,360362,472862
2024-04-15,ALL,416589,360339,472835
2024-04-22,ALL,422682,366434,478930
2024-04-29,ALL,418707,362458,474955
2024-05-06,ALL,426654,370405,482904
2024-05-13,ALL,425139,368889,481388
2024-05-20,ALL,424880,368635,481129
2024-05-27,ALL,406926,350681,463172
2024-06-03,ALL,350189,293942,406438
2024-06-10,ALL,351140,294890,407389
2024-06-17,ALL,348883,292634,405133
2024-06-24,ALL,347533,291285,403781
2024-07-01,ALL,350146,293897,406393
2024-07-08,ALL,349648,293402,405898
2024-07-15,ALL,346892,290643,403141
2024-07-22,ALL,347687,291438,403934
2024-07-29,ALL,351079,294831,407328
2024-08-05,ALL,351078,294826,407326
2024-08-12,ALL,347401,291152,403650
2024-08-19,ALL,347096,290846,403343
2024-08-26,ALL,348772,292525,405023
2024-09-02,ALL,331817,275566,388066
2024-09-09,ALL,332428,276179,388673
2024-09-16,ALL,332948,276699,389194
2024-09-23,ALL,332805,276558,389049
2024-09-30,ALL,396549,340300,452797
2024-10-07,ALL,442548,386300,498796
2024-10-14,ALL,446267,390019,502517
2024-10-21,ALL,445374,389131,501621
2024-10-28,ALL,414608,358358,470850
2024-11-04,ALL,432390,376142,488638
2024-11-11,ALL,447845,391597,504093
2024-11-18,ALL,452872,396624,509121
2024-11-25,ALL,409881,353632,466132
2024-12-02,ALL,282618,226370,338865
2024-12-09,ALL,282953,226704,339200
2024-12-16,ALL,278468,222217,334714
2024-12-23,ALL,283021,226769,339266
2024-12-30,ALL,79338,63268,95410
2024-01-01,East_Zone,60465,46404,74528
2024-01-08,East_Zone,60573,46511,74635
2024-01-15,East_Zone,62962,48899,77023
2024-01-22,East_Zone,63178,49115,77240
2024-01-29,East_Zone,60788,46726,74848
2024-02-05,East_Zone,60670,46607,74732
2024-02-12,East_Zone,61711,47649,75774
2024-02-19,East_Zone,64592,50530,78653
2024-02-26,East_Zone,85555,71492,99617
2024-03-04,East_Zone,110413,96350,124474
2024-03-11,East_Zone,103791,89728,117851
2024-03-18,East_Zone,107789,93727,121851
2024-03-25,East_Zone,106297,92234,120359
2024-04-01,East_Zone,98384,84321,112447
2024-04-08,East_Zone,95021,80958,109084
2024-04-15,East_Zone,97018,82956,111080
2024-04-22,East_Zone,97466,83404,111528
2024-04-29,East_Zone,96858,82795,110920
2024-05-06,East_Zone,98636,84573,112698
2024-05-13,East_Zone,97033,82970,111096
2024-05-20,East_Zone,97215,83153,111278
2024-05-27,East_Zone,91693,77633,105756
2024-06-03,East_Zone,78651,64590,92714
2024-06-10,East_Zone,79142,65080,93203
2024-06-17,East_Zone,80206,66145,94268
2024-06-24,East_Zone,77611,63548,91673
2024-07-01,East_Zone,80294,66231,94355
2024-07-08,East_Zone,77736,63675,91799
2024-07-15,East_Zone,77196,63133,91258
2024-07-22,East_Zone,78943,64880,93005
2024-07-29,East_Zone,79469,65408,93530
2024-08-05,East_Zone,80357,66294,94418
2024-08-12,East_Zone,79120,65059,93182
2024-08-19,East_Zone,78896,64833,92956
2024-08-26,East_Zone,80396,66337,94459
2024-09-02,East_Zone,76394,62331,90456
2024-09-09,East_Zone,75540,61478,89601
2024-09-16,East_Zone,76565,62502,90626
2024-09-23,East_Zone,75128,61066,89190
2024-09-30,East_Zone,90995,76933,105057
2024-10-07,East_Zone,102205,88144,116267
2024-10-14,East_Zone,106558,92496,120620
2024-10-21,East_Zone,104140,90083,118202
2024-10-28,East_Zone,95710,81647,109772
2024-11-04,East_Zone,101003,86941,115064
2024-11-11,East_Zone,102888,88825,116951
2024-11-18,East_Zone,108458,94395,122521
2024-11-25,East_Zone,95205,81142,109268
2024-12-02,East_Zone,63051,48989,77112
2024-12-09,East_Zone,61687,47624,75749
2024-12-16,East_Zone,62112,48049,76172
2024-12-23,East_Zone,61905,47842,75964
2024-12-30,East_Zone,16535,12518,20553
2024-01-01,North_Zone,82561,68498,96623
2024-01-08,North_Zone,81648,67586,95709
2024-01-15,North_Zone,81588,67526,95650
2024-01-22,North_Zone,81145,67083,95205
2024-01-29,North_Zone,80863,66802,94926
2024-02-05,North_Zone,82973,68911,97035
2024-02-12,North_Zone,83291,69229,97354
2024-02-19,North_Zone,80819,66757,94879
2024-02-26,North_Zone,98834,84772,112896
2024-03-04,North_Zone,122181,108119,136244
2024-03-11,North_Zone,122706,108643,136767
2024-03-18,North_Zone,118671,104609,132732
2024-03-25,North_Zone,120215,106153,134278
2024-04-01,North_Zone,117964,103902,132026
2024-04-08,North_Zone,116635,102573,130698
2024-04-15,North_Zone,115439,101377,129501
2024-04-22,North_Zone,114699,100637,128762
2024-04-29,North_Zone,112480,98419,126541
2024-05-06,North_Zone,114820,100758,128882
2024-05-13,North_Zone,116014,101952,130077
2024-05-20,North_Zone,116147,102086,130210
2024-05-27,North_Zone,111731,97670,125793
2024-06-03,North_Zone,96523,82461,110585
2024-06-10,North_Zone,96588,82525,110651
2024-06-17,North_Zone,97752,83690,111815
2024-06-24,North_Zone,95625,81562,109688
2024-07-01,North_Zone,97057,82995,111119
2024-07-08,North_Zone,97739,83678,111802
2024-07-15,North_Zone,95501,81439,109564
2024-07-22,North_Zone,96109,82047,110172
2024-07-29,North_Zone,96406,82344,110468
2024-08-05,North_Zone,95497,81434,109558
2024-08-12,North_Zone,96169,82106,110232
2024-08-19,North_Zone,96728,82666,110790
2024-08-26,North_Zone,95992,81929,110055
2024-09-02,North_Zone,89781,75719,103844
2024-09-09,North_Zone,89246,75183,103308
2024-09-16,North_Zone,90723,76661,104783
2024-09-23,North_Zone,90969,76907,105029
2024-09-30,North_Zone,108372,94309,122435
2024-10-07,North_Zone,120967,106905,135029
2024-10-14,North_Zone,122391,108329,136454
2024-10-21,North_Zone,123080,109018,137142
2024-10-28,North_Zone,112595,98533,126656
2024-11-04,North_Zone,117440,103377,131503
2024-11-11,North_Zone,123891,109829,137952
2024-11-18,North_Zone,123761,109699,137822
2024-11-25,North_Zone,112616,98554,126679
2024-12-02,North_Zone,80031,65969,94092
2024-12-09,North_Zone,79982,65919,94044
2024-12-16,North_Zone,78365,64302,92428
2024-12-23,North_Zone,80142,66079,94205
2024-12-30,North_Zone,22872,18854,26890
2024-01-01,South_Zone,81739,67677,95802
2024-01-08,South_Zone,82581,68520,96644
2024-01-15,South_Zone,84953,70890,99013
2024-01-22,South_Zone,83824,69761,97887
2024-01-29,South_Zone,83348,69287,97409
2024-02-05,South_Zone,84072,70009,98133
2024-02-12,South_Zone,85057,70994,99118
2024-02-19,South_Zone,86317,72254,100380
2024-02-26,South_Zone,106502,92440,120564
2024-03-04,South_Zone,132098,118036,146161
2024-03-11,South_Zone,126536,112473,140599
2024-03-18,South_Zone,126973,112911,141034
2024-03-25,South_Zone,130553,116492,144615
2024-04-01,South_Zone,122387,108325,136449
2024-04-08,South_Zone,116647,102585,130709
2024-04-15,South_Zone,116942,102879,131001
2024-04-22,South_Zone,119295,105233,133357
2024-04-29,South_Zone,119735,105672,133797
2024-05-06,South_Zone,120511,106449,134574
2024-05-13,South_Zone,120654,106591,134714
2024-05-20,South_Zone,120749,106688,134809
2024-05-27,South_Zone,114710,100647,128770
2024-06-03,South_Zone,102353,88291,116414
2024-06-10,South_Zone,101545,87482,115607
2024-06-17,South_Zone,98797,84734,112859
2024-06-24,South_Zone,101923,87862,115984
2024-07-01,South_Zone,100044,85983,114106
2024-07-08,South_Zone,100391,86329,114453
2024-07-15,South_Zone,99268,85206,113330
2024-07-22,South_Zone,100954,86892,115015
2024-07-29,South_Zone,102710,88647,116773
2024-08-05,South_Zone,100454,86391,114517
2024-08-12,South_Zone,101350,87288,115412
2024-08-19,South_Zone,99673,85610,113735
2024-08-26,South_Zone,100958,86895,115021
2024-09-02,South_Zone,96185,82122,110247
2024-09-09,South_Zone,98431,84370,112492
2024-09-16,South_Zone,95946,81884,110008
2024-09-23,South_Zone,96325,82264,110387
2024-09-30,South_Zone,113465,99403,127527
2024-10-07,South_Zone,123360,109298,137422
2024-10-14,South_Zone,121745,107682,135807
2024-10-21,South_Zone,122772,108710,136834
2024-10-28,South_Zone,116567,102505,130627
2024-11-04,South_Zone,120066,106003,134128
2024-11-11,South_Zone,126068,112007,140131
2024-11-18,South_Zone,124112,110050,138174
2024-11-25,South_Zone,114663,100601,128725
2024-12-02,South_Zone,82500,68439,96563
2024-12-09,South_Zone,85261,71199,99322
2024-12-16,South_Zone,80814,66751,94877
2024-12-23,South_Zone,84797,70734,98857
2024-12-30,South_Zone,24571,20554,28589
2024-01-01,West_Zone,54675,40613,68737
2024-01-08,West_Zone,55880,41818,69943
2024-01-15,West_Zone,57488,43425,71549
2024-01-22,West_Zone,57574,43512,71636
2024-01-29,West_Zone,57882,43819,71945
2024-02-05,West_Zone,56513,42450,70573
2024-02-12,West_Zone,56873,42810,70936
2024-02-19,West_Zone,57650,43587,71711
2024-02-26,West_Zone,76329,62267,90390
2024-03-04,West_Zone,101625,87562,115686
2024-03-11,West_Zone,97706,83643,111768
2024-03-18,West_Zone,97715,83653,111777
2024-03-25,West_Zone,95795,81733,109858
2024-04-01,West_Zone,87672,73610,101735
2024-04-08,West_Zone,88308,74246,102371
2024-04-15,West_Zone,87190,73127,101253
2024-04-22,West_Zone,91222,77160,105283
2024-04-29,West_Zone,89634,75572,103697
2024-05-06,West_Zone,92687,78625,106750
2024-05-13,West_Zone,91438,77376,105501
2024-05-20,West_Zone,90769,76708,104832
2024-05-27,West_Zone,88792,74731,102853
2024-06-03,West_Zone,72662,58600,86725
2024-06-10,West_Zone,73865,59803,87928
2024-06-17,West_Zone,72128,58065,86191
2024-06-24,West_Zone,72374,58313,86436
2024-07-01,West_Zone,72751,58688,86813
2024-07-08,West_Zone,73782,59720,87844
2024-07-15,West_Zone,74927,60865,88989
2024-07-22,West_Zone,71681,57619,85742
2024-07-29,West_Zone,72494,58432,86557
2024-08-05,West_Zone,74770,60707,88833
2024-08-12,West_Zone,70762,56699,84824
2024-08-19,West_Zone,71799,57737,85862
2024-08-26,West_Zone,71426,57364,85488
2024-09-02,West_Zone,69457,55394,83519
2024-09-09,West_Zone,69211,55148,83272
2024-09-16,West_Zone,69714,55652,83777
2024-09-23,West_Zone,70383,56321,84443
2024-09-30,West_Zone,83717,69655,97778
2024-10-07,West_Zone,96016,81953,110078
2024-10-14,West_Zone,95573,81512,109636
2024-10-21,West_Zone,95382,81320,109443
2024-10-28,West_Zone,89736,75673,103795
2024-11-04,West_Zone,93881,79821,107943
2024-11-11,West_Zone,94998,80936,109059
2024-11-18,West_Zone,96541,82480,110604
2024-11-25,West_Zone,87397,73335,101460
2024-12-02,West_Zone,57036,42973,71098
2024-12-09,West_Zone,56023,41962,70085
2024-12-16,West_Zone,57177,43115,71237
2024-12-23,West_Zone,56177,42114,70240
2024-12-30,West_Zone,15360,11342,19378
